catchment_id Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa) pet(mm/day)
01013500 2011 8 1 12 43200 10.770 220.060 0 25.675 12.634 1768.647 1.174
01013500 2011 8 2 12 43200 36.576 250.805 0 19.895 13.878 1865.390 0.747
01013500 2011 8 3 12 43200 6.216 224.100 0 25.444 13.082 1790.791 1.146
01013500 2011 8 4 12 43200 17.100 220.912 0 22.153 15.858 2010.134 0.812
01013500 2011 8 5 12 43200 18.794 180.063 0 22.930 14.428 2002.593 0.935
01013500 2011 8 6 12 43200 1.181 305.918 0 25.229 15.892 1713.887 1.032
01013500 2011 8 7 12 43200 0.021 257.478 0 25.119 11.587 1441.778 1.169
01013500 2011 8 8 12 43200 31.407 177.914 0 22.104 16.079 1867.336 0.796
01013500 2011 8 9 12 43200 -0.000 318.830 0 21.222 10.441 1161.665 0.968
01013500 2011 8 10 12 43200 0.000 281.502 0 21.257 9.906 1158.656 0.986
01022500 2011 8 1 12 43200 0.361 307.385 0 26.642 14.278 1722.299 1.386
01022500 2011 8 2 12 43200 24.704 236.989 0 26.722 15.485 1964.449 1.345
01022500 2011 8 3 12 43200 10.188 273.355 0 25.726 13.204 1810.678 1.358
01022500 2011 8 4 12 43200 12.038 272.079 0 24.006 14.954 1950.607 1.155
01022500 2011 8 5 12 43200 4.266 302.479 0 26.568 14.370 1862.673 1.378
01022500 2011 8 6 12 43200 43.515 203.137 0 27.093 16.880 2210.048 1.312
01022500 2011 8 7 12 43200 0.313 277.076 0 26.251 14.420 1721.960 1.352
01022500 2011 8 8 12 43200 8.614 142.472 0 25.167 17.659 2272.994 1.108
01022500 2011 8 9 12 43200 -0.000 323.772 0 25.888 12.627 1399.443 1.389
01022500 2011 8 10 12 43200 0.000 269.030 0 23.753 13.053 1260.572 1.218
01030500 2011 8 1 12 43200 10.921 290.403 0 29.025 13.100 1642.426 1.520
01030500 2011 8 2 12 43200 41.633 195.435 0 21.867 15.552 1954.261 0.897
01030500 2011 8 3 12 43200 2.967 240.479 0 25.002 12.094 1692.561 1.277
01030500 2011 8 4 12 43200 20.362 214.364 0 22.595 16.116 2088.876 0.925
01030500 2011 8 5 12 43200 16.545 221.548 0 25.695 14.792 2061.062 1.230
01030500 2011 8 6 12 43200 13.467 279.840 0 26.231 17.776 2112.048 1.135
01030500 2011 8 7 12 43200 0.177 222.997 0 26.989 12.749 1568.517 1.391
01030500 2011 8 8 12 43200 17.887 145.207 0 23.706 16.638 2040.636 0.989
01030500 2011 8 9 12 43200 0.000 321.536 0 24.136 11.168 1257.087 1.247
01030500 2011 8 10 12 43200 0.000 268.740 0 22.474 12.129 1231.064 1.102
01052500 2011 8 1 12 43200 11.569 238.790 0 26.068 12.735 1643.414 1.378
01052500 2011 8 2 12 43200 8.458 306.552 0 20.851 12.789 1576.014 0.994
01052500 2011 8 3 12 43200 0.183 266.816 0 21.651 9.861 1408.008 1.164
01052500 2011 8 4 12 43200 3.841 254.777 0 24.062 11.755 1629.590 1.269
01052500 2011 8 5 12 43200 5.872 277.273 0 28.333 13.353 1710.876 1.519
01052500 2011 8 6 12 43200 8.384 258.943 0 24.110 15.788 1875.541 1.105
01052500 2011 8 7 12 43200 4.094 251.036 0 26.573 12.388 1725.952 1.424
01052500 2011 8 8 12 43200 8.500 136.903 0 18.535 15.038 1801.760 0.654
01052500 2011 8 9 12 43200 0.024 323.090 0 21.586 8.372 1187.524 1.203
01052500 2011 8 10 12 43200 0.000 267.655 0 22.788 11.483 1252.084 1.189
01054200 2011 8 1 12 43200 6.363 236.701 0 28.709 14.955 1628.475 1.535
01054200 2011 8 2 12 43200 7.223 321.732 0 24.707 14.231 1631.471 1.257
01054200 2011 8 3 12 43200 0.005 278.260 0 24.699 11.698 1442.772 1.351
01054200 2011 8 4 12 43200 0.615 235.947 0 26.032 14.103 1687.656 1.364
01054200 2011 8 5 12 43200 1.579 255.814 0 28.680 15.298 1832.712 1.520
01054200 2011 8 6 12 43200 4.275 298.604 0 28.780 17.151 2025.383 1.454
01054200 2011 8 7 12 43200 3.357 285.665 0 24.266 15.782 1992.657 1.149
01054200 2011 8 8 12 43200 6.410 269.536 0 25.515 16.406 1994.487 1.221
01054200 2011 8 9 12 43200 -0.000 329.428 0 24.703 10.685 1208.274 1.383
01054200 2011 8 10 12 43200 0.000 251.977 0 25.413 13.383 1302.957 1.344
01055000 2011 8 1 12 43200 11.394 214.675 0 27.250 13.676 1585.552 1.450
01055000 2011 8 2 12 43200 14.282 324.910 0 21.644 13.713 1713.190 1.025
01055000 2011 8 3 12 43200 0.291 239.326 0 21.878 10.609 1454.171 1.171
01055000 2011 8 4 12 43200 0.346 219.627 0 26.294 13.084 1645.961 1.401
01055000 2011 8 5 12 43200 2.816 264.029 0 27.820 14.268 1790.782 1.472
01055000 2011 8 6 12 43200 9.686 291.083 0 26.640 16.459 1974.068 1.293
01055000 2011 8 7 12 43200 1.987 266.502 0 25.068 13.589 1772.085 1.293
01055000 2011 8 8 12 43200 5.546 279.477 0 24.820 16.594 1927.413 1.136
01055000 2011 8 9 12 43200 0.000 326.932 0 24.494 9.472 1188.320 1.382
01055000 2011 8 10 12 43200 0.000 269.877 0 24.173 12.645 1255.753 1.262
01057000 2011 8 1 12 43200 7.338 261.836 0 30.552 14.721 1669.109 1.690
01057000 2011 8 2 12 43200 12.106 285.345 0 27.708 14.979 1684.515 1.465
01057000 2011 8 3 12 43200 0.054 271.870 0 26.477 12.340 1505.865 1.465
01057000 2011 8 4 12 43200 0.739 232.094 0 27.887 14.920 1799.292 1.481
01057000 2011 8 5 12 43200 2.741 259.769 0 29.730 15.542 1940.337 1.600
01057000 2011 8 6 12 43200 5.052 267.027 0 30.131 17.227 2139.608 1.566
01057000 2011 8 7 12 43200 4.108 256.470 0 25.167 15.835 2049.102 1.226
01057000 2011 8 8 12 43200 14.921 250.518 0 27.290 18.814 2083.001 1.250
01057000 2011 8 9 12 43200 0.000 327.030 0 26.427 11.609 1267.112 1.483
01057000 2011 8 10 12 43200 0.000 257.130 0 25.385 14.015 1339.643 1.324
01073000 2011 8 1 12 43200 0.100 265.812 0 31.550 16.852 1868.907 1.801
01073000 2011 8 2 12 43200 2.409 221.694 0 30.250 16.197 1867.587 1.719
01073000 2011 8 3 12 43200 0.000 309.789 0 29.160 14.192 1594.089 1.704
01073000 2011 8 4 12 43200 0.101 179.391 0 29.148 16.553 1820.106 1.612
01073000 2011 8 5 12 43200 -0.000 261.440 0 29.968 16.252 1935.234 1.693
01073000 2011 8 6 12 43200 0.301 225.782 0 34.798 18.677 2228.975 2.005
01073000 2011 8 7 12 43200 2.356 282.769 0 27.136 18.710 2294.017 1.321
01073000 2011 8 8 12 43200 5.313 315.999 0 31.652 19.452 2166.297 1.696
01073000 2011 8 9 12 43200 0.000 328.124 0 28.651 12.802 1351.406 1.710
01073000 2011 8 10 12 43200 0.000 224.014 0 27.279 15.027 1371.229 1.521
01078000 2011 8 1 12 43200 0.007 266.423 0 31.658 15.258 1775.367 1.827
01078000 2011 8 2 12 43200 5.509 267.013 0 25.644 14.566 1778.331 1.375
01078000 2011 8 3 12 43200 -0.000 327.828 0 27.049 12.262 1481.408 1.569
01078000 2011 8 4 12 43200 0.344 191.744 0 29.340 16.563 1726.974 1.592
01078000 2011 8 5 12 43200 0.678 258.381 0 31.026 15.591 1939.935 1.766
01078000 2011 8 6 12 43200 0.458 267.538 0 30.213 17.544 2135.763 1.623
01078000 2011 8 7 12 43200 4.426 301.940 0 29.011 18.083 2191.181 1.495
01078000 2011 8 8 12 43200 1.309 282.278 0 27.052 18.162 1972.601 1.317
01078000 2011 8 9 12 43200 0.000 328.441 0 25.614 10.893 1250.140 1.505
01078000 2011 8 10 12 43200 0.000 237.453 0 27.415 12.219 1363.871 1.598
01118300 2011 8 1 12 43200 0.180 313.500 0 31.250 19.802 2115.258 1.785
01118300 2011 8 2 12 43200 0.000 210.125 0 30.150 19.595 1817.505 1.687
01118300 2011 8 3 12 43200 0.000 330.250 0 30.160 17.992 1688.289 1.776
01118300 2011 8 4 12 43200 16.200 290.125 0 25.773 20.155 2423.194 1.173
01118300 2011 8 5 12 43200 0.000 293.250 0 29.268 18.850 2193.498 1.643
01118300 2011 8 6 12 43200 1.100 287.125 0 30.697 20.505 2493.404 1.687
01118300 2011 8 7 12 43200 3.210 311.750 0 29.333 21.108 2515.009 1.502
01118300 2011 8 8 12 43200 7.100 294.875 0 30.350 21.762 2550.949 1.565
01118300 2011 8 9 12 43200 0.000 327.375 0 29.250 16.399 1507.001 1.768
01118300 2011 8 10 12 43200 0.000 194.500 0 24.521 15.826 1503.026 1.356
01121000 2011 8 1 12 43200 0.989 299.839 0 33.655 17.930 1933.834 2.068
01121000 2011 8 2 12 43200 0.070 210.776 0 30.318 17.847 1737.409 1.766
01121000 2011 8 3 12 43200 0.131 331.936 0 31.196 15.911 1540.222 1.930
01121000 2011 8 4 12 43200 5.190 210.786 0 31.205 18.539 2188.804 1.815
01121000 2011 8 5 12 43200 1.963 231.335 0 30.617 17.490 2178.200 1.811
01121000 2011 8 6 12 43200 1.358 242.184 0 33.159 19.396 2357.502 1.957
01121000 2011 8 7 12 43200 4.377 301.815 0 30.555 19.743 2337.314 1.688
01121000 2011 8 8 12 43200 1.252 297.900 0 31.511 20.667 2226.728 1.729
01121000 2011 8 9 12 43200 -0.000 327.203 0 29.795 13.651 1349.409 1.892
01121000 2011 8 10 12 43200 0.000 196.693 0 25.921 14.059 1431.063 1.548
